timestamp,sensor_id,flow,speed,occupancy
2025-01-01 06:00:00,S1,54,30,0.78
2025-01-01 06:05:00,S1,74,40,0.59
2025-01-01 06:10:00,S1,78,47,0.52
2025-01-01 06:15:00,S1,114,22,0.61
2025-01-01 06:20:00,S1,158,54,0.78
2025-01-01 06:25:00,S1,155,64,0.32
2025-01-01 06:30:00,S1,104,61,0.8
2025-01-01 06:35:00,S1,111,32,0.54
2025-01-01 06:40:00,S1,79,62,0.18
2025-01-01 06:45:00,S1,199,41,0.19
2025-01-01 06:50:00,S1,156,36,0.31
2025-01-01 06:55:00,S1,142,21,0.34
2025-01-01 07:00:00,S1,134,62,0.36
2025-01-01 07:05:00,S1,182,28,0.9
2025-01-01 07:10:00,S1,55,25,0.18
2025-01-01 07:15:00,S1,137,21,0.74
2025-01-01 07:20:00,S1,159,39,0.5
2025-01-01 07:25:00,S1,125,63,0.76
2025-01-01 07:30:00,S1,171,23,0.14
2025-01-01 07:35:00,S1,153,25,0.57
2025-01-01 07:40:00,S1,94,46,0.79
2025-01-01 07:45:00,S1,85,58,0.88
2025-01-01 07:50:00,S1,59,64,0.82
2025-01-01 07:55:00,S1,138,58,0.28
2025-01-01 08:00:00,S1,86,54,0.26
2025-01-01 08:05:00,S1,131,57,0.75
2025-01-01 08:10:00,S1,136,66,0.17
2025-01-01 08:15:00,S1,171,38,0.32
2025-01-01 08:20:00,S1,121,68,0.72
2025-01-01 08:25:00,S1,110,41,0.77
2025-01-01 08:30:00,S1,111,30,0.57
2025-01-01 08:35:00,S1,188,36,0.44
2025-01-01 08:40:00,S1,181,64,0.84
2025-01-01 08:45:00,S1,111,41,0.78
2025-01-01 08:50:00,S1,82,59,0.13
2025-01-01 08:55:00,S1,195,54,0.73
2025-01-01 09:00:00,S1,196,49,0.47
2025-01-01 09:05:00,S1,190,33,0.58
2025-01-01 09:10:00,S1,87,67,0.86
2025-01-01 09:15:00,S1,152,65,0.19
2025-01-01 09:20:00,S1,68,33,0.45
2025-01-01 09:25:00,S1,159,67,0.1
2025-01-01 09:30:00,S1,156,43,0.8
2025-01-01 09:35:00,S1,51,43,0.58
2025-01-01 09:40:00,S1,190,34,0.16
2025-01-01 09:45:00,S1,57,69,0.5
2025-01-01 09:50:00,S1,160,43,0.19
2025-01-01 09:55:00,S1,57,46,0.46
2025-01-01 10:00:00,S1,190,68,0.31
2025-01-01 10:05:00,S1,127,28,0.35
2025-01-01 10:10:00,S1,114,29,0.34
2025-01-01 10:15:00,S1,97,49,0.49
2025-01-01 10:20:00,S1,73,48,0.87
2025-01-01 10:25:00,S1,72,57,0.83
2025-01-01 10:30:00,S1,108,64,0.28
2025-01-01 10:35:00,S1,190,33,0.65
2025-01-01 10:40:00,S1,151,65,0.42
2025-01-01 10:45:00,S1,113,37,0.16
2025-01-01 10:50:00,S1,177,41,0.7
2025-01-01 10:55:00,S1,65,31,0.2
2025-01-01 11:00:00,S1,80,28,0.33
2025-01-01 11:05:00,S1,131,52,0.74
2025-01-01 11:10:00,S1,197,66,0.66
2025-01-01 11:15:00,S1,174,52,0.85
2025-01-01 11:20:00,S1,127,34,0.64
2025-01-01 11:25:00,S1,151,67,0.41
2025-01-01 11:30:00,S1,76,65,0.74
2025-01-01 11:35:00,S1,192,53,0.57
2025-01-01 11:40:00,S1,68,54,0.54
2025-01-01 11:45:00,S1,56,21,0.51
2025-01-01 11:50:00,S1,58,64,0.37
2025-01-01 11:55:00,S1,112,58,0.63
2025-01-01 12:00:00,S1,145,47,0.8
2025-01-01 12:05:00,S1,160,57,0.71
2025-01-01 12:10:00,S1,97,27,0.2
2025-01-01 12:15:00,S1,72,54,0.53
2025-01-01 12:20:00,S1,128,48,0.22
2025-01-01 12:25:00,S1,146,61,0.27
2025-01-01 12:30:00,S1,193,58,0.34
2025-01-01 12:35:00,S1,64,27,0.65
2025-01-01 12:40:00,S1,173,24,0.51
2025-01-01 12:45:00,S1,69,44,0.72
2025-01-01 12:50:00,S1,63,63,0.26
2025-01-01 12:55:00,S1,89,52,0.38
2025-01-01 13:00:00,S1,87,51,0.69
2025-01-01 13:05:00,S1,101,47,0.46
2025-01-01 13:10:00,S1,183,42,0.67
2025-01-01 13:15:00,S1,61,63,0.53
2025-01-01 13:20:00,S1,163,58,0.27
2025-01-01 13:25:00,S1,51,66,0.15
2025-01-01 13:30:00,S1,126,61,0.18
2025-01-01 13:35:00,S1,178,26,0.18
2025-01-01 13:40:00,S1,63,64,0.21
2025-01-01 13:45:00,S1,144,64,0.75
2025-01-01 13:50:00,S1,199,28,0.56
2025-01-01 13:55:00,S1,92,35,0.14
2025-01-01 14:00:00,S1,129,63,0.74
2025-01-01 14:05:00,S1,110,67,0.3
2025-01-01 14:10:00,S1,70,42,0.74
2025-01-01 14:15:00,S1,87,52,0.67
2025-01-01 06:00:00,S2,148,67,0.36
2025-01-01 06:05:00,S2,134,40,0.57
2025-01-01 06:10:00,S2,70,23,0.12
2025-01-01 06:15:00,S2,179,35,0.4
2025-01-01 06:20:00,S2,113,34,0.48
2025-01-01 06:25:00,S2,183,59,0.89
2025-01-01 06:30:00,S2,171,54,0.61
2025-01-01 06:35:00,S2,71,53,0.25
2025-01-01 06:40:00,S2,124,64,0.57
2025-01-01 06:45:00,S2,110,35,0.44
2025-01-01 06:50:00,S2,117,37,0.59
2025-01-01 06:55:00,S2,125,39,0.44
2025-01-01 07:00:00,S2,132,66,0.66
2025-01-01 07:05:00,S2,127,36,0.43
2025-01-01 07:10:00,S2,187,67,0.8
2025-01-01 07:15:00,S2,74,57,0.85
2025-01-01 07:20:00,S2,133,46,0.22
2025-01-01 07:25:00,S2,181,30,0.64
2025-01-01 07:30:00,S2,103,28,0.55
2025-01-01 07:35:00,S2,157,40,0.29
2025-01-01 07:40:00,S2,51,54,0.42
2025-01-01 07:45:00,S2,85,31,0.67
2025-01-01 07:50:00,S2,101,57,0.6
2025-01-01 07:55:00,S2,185,50,0.3
2025-01-01 08:00:00,S2,165,69,0.36
2025-01-01 08:05:00,S2,180,40,0.32
2025-01-01 08:10:00,S2,171,36,0.32
